station_id,latitude,longitude,distance_km
05735,55.6858,12.5768,1.2049413513158191
06186,55.6861,12.5439,1.895964536348622
06187,55.6886,12.5985,2.3546434794187467
30215,55.7103,12.5641,3.8164177213130484
06180,55.614,12.6454,8.44694805495
