target_date,selected_historical_year,selected_historical_date,selected_station_id,T_proj,R_proj,W_proj,T_hist,R_hist,W_hist,dT_norm,dR_norm,dW_norm,delta_D,rank
2025-07-01,2015,2015-07-01,06180,20.445533752441406,336.9697265625,3.846384286880493,18.240277777777777,364.40972222222223,2.8631944444444444,0.084528,0.077768,0.08559,0.082819,1
2025-07-02,2022,2022-07-02,06180,20.68417739868164,336.5480041503906,1.760412335395813,18.77777777777778,302.0833333333333,5.414583333333334,0.073073,0.097677,0.318107,0.153964,1
2025-07-03,2015,2015-07-03,06180,20.47391700744629,321.25396728515625,3.956691265106201,20.902097902097903,337.125,4.183216783216784,0.016412,0.044981,0.01972,0.025975,1
2025-07-04,2018,2018-07-04,06180,20.79551887512207,321.2912902832031,5.244581699371338,20.20763888888889,356.1388888888889,3.59375,0.022534,0.098763,0.14371,0.081755,1
2025-07-05,2015,2015-07-05,06180,21.839908599853516,302.2511901855469,5.507791042327881,23.313194444444445,299.15277777777777,3.0867132867132865,0.056471,0.008781,0.210762,0.088452,1
2025-07-06,2018,2018-07-06,06180,21.772953033447266,261.1101989746094,5.561878681182861,18.290277777777778,243.90277777777777,4.955555555555556,0.133491,0.048768,0.052782,0.083862,1
2025-07-07,2021,2021-07-07,06180,18.695035934448242,208.9818115234375,4.45210075378418,18.654861111111114,199.57638888888889,4.263888888888889,0.00154,0.026656,0.016384,0.013528,1
2025-07-08,2024,2024-07-08,06180,17.267818450927734,298.8522033691406,4.458715915679932,16.925694444444446,237.24305555555554,3.974305555555555,0.013114,0.174608,0.042169,0.070279,1
2025-07-09,2017,2017-07-09,06180,16.129802703857422,287.5143737792969,2.0042028427124023,15.497916666666665,317.1666666666667,3.459722222222222,0.02422,0.084038,0.126708,0.072912,1
2025-07-10,2017,2017-07-10,06180,14.857930183410645,222.00083923339844,3.0565783977508545,15.609027777777776,207.24305555555554,2.1555555555555554,0.02879,0.041825,0.078437,0.047595,1
2025-07-11,2015,2015-07-11,06180,15.728437423706055,243.57882690429688,2.2713725566864014,15.223076923076924,279.09722222222223,2.266901408450704,0.019371,0.100664,0.000389,0.038064,1
2025-07-12,2016,2016-07-12,06180,16.96161651611328,250.4739990234375,5.722135066986084,17.915972222222223,200.95138888888889,6.456250000000001,0.036581,0.140353,0.063907,0.07591,1
2025-07-13,2017,2017-07-13,06180,18.149700164794922,321.4474792480469,6.371102809906006,15.751388888888888,313.34722222222223,5.7555555555555555,0.091928,0.022957,0.053585,0.059734,1
2025-07-14,2023,2023-07-14,06180,18.609882354736328,251.24786376953125,5.092955112457275,18.188194444444445,265.7708333333333,4.051388888888889,0.016163,0.04116,0.090672,0.046015,1
2025-07-15,2024,2024-07-15,06180,19.4490909576416,218.47032165527344,4.312891960144043,18.639583333333334,233.02777777777777,5.170138888888889,0.031029,0.041258,0.074626,0.047177,1
2025-07-16,2019,2019-07-16,06180,17.617122650146484,213.47657775878906,3.5309228897094727,16.999305555555555,239.78472222222223,3.8798611111111114,0.023681,0.074561,0.030376,0.040953,1
2025-07-17,2018,2018-07-17,06180,20.025625228881836,161.9759979248047,3.0900847911834717,21.515277777777776,118.67361111111111,2.9541666666666666,0.057099,0.122725,0.011832,0.063206,1
2025-07-18,2019,2019-07-18,06180,22.751543045043945,316.8696594238281,3.4054088592529297,18.57986111111111,339.47222222222223,3.0804195804195804,0.159901,0.064059,0.028291,0.091665,1
2025-07-19,2021,2021-07-19,06180,20.58657455444336,133.08078002929688,2.1818058490753174,18.520833333333332,181.11805555555554,3.5805555555555557,0.07918,0.136144,0.121766,0.109045,1
2025-07-20,2022,2022-07-20,06180,22.61907386779785,307.5207824707031,2.5591025352478027,22.777083333333334,289.875,3.9027777777777777,0.006057,0.05001,0.116971,0.052517,1
2025-07-21,2022,2022-07-21,06180,24.507911682128906,279.9913024902344,4.977346897125244,22.808333333333334,255.03472222222223,4.9,0.065145,0.07073,0.006733,0.049297,1
2025-07-22,2016,2016-07-22,06180,26.089141845703125,301.08807373046875,3.404991388320923,21.335416666666667,329.3263888888889,1.6685314685314685,0.182211,0.080031,0.151164,0.142243,1
2025-07-23,2018,2018-07-23,06180,24.14353370666504,267.2429504394531,2.3395028114318848,21.645833333333332,231.91666666666666,2.629861111111111,0.095737,0.100119,0.025277,0.075914,1
2025-07-24,2021,2021-07-24,06180,21.01266098022461,220.58901977539062,4.119115352630615,20.599305555555556,279.99305555555554,4.06013986013986,0.015844,0.168359,0.005134,0.058385,1
2025-07-25,2017,2017-07-25,06180,15.573525428771973,79.58744812011719,3.4164023399353027,16.98263888888889,75.55555555555556,5.078472222222222,0.054011,0.011427,0.144688,0.068439,1
2025-07-26,2016,2016-07-26,06180,16.580739974975586,285.5265808105469,2.5591025352478027,19.73611111111111,240.41666666666666,3.3631944444444444,0.120946,0.127847,0.069999,0.107732,1
2025-07-27,2024,2024-07-27,06180,15.658295631408691,277.6793518066406,3.1777231693267822,18.231944444444444,251.24305555555554,2.6166666666666667,0.098648,0.074924,0.048842,0.076589,1
2025-07-28,2022,2022-07-28,06180,16.306922912597656,288.57379150390625,2.4591023921966553,15.021527777777777,271.7173913043478,2.596527777777778,0.049269,0.047773,0.011963,0.037629,1
2025-07-29,2022,2022-07-29,06180,16.896514892578125,216.52810668945312,2.2437078952789307,17.15902777777778,284.6736111111111,3.30625,0.010062,0.193133,0.092498,0.089714,1
2025-07-30,2022,2022-07-30,06180,17.975482940673828,269.21466064453125,3.346384286880493,18.202777777777776,257.21527777777777,3.7395833333333335,0.008712,0.034008,0.034229,0.023956,1
2025-07-31,2020,2020-07-31,06180,19.17253875732422,206.96559143066406,2.7389070987701416,16.33888888888889,233.54166666666666,3.0422535211267605,0.108614,0.07532,0.026407,0.073964,1
2026-09-01,2015,2015-09-01,06180,16.53998565673828,37.06782150268555,5.123926639556885,18.000694444444445,88.72222222222223,5.1875,0.055989,0.146395,0.005534,0.067975,1
2026-09-02,2023,2023-09-02,06180,17.270647048950195,206.62240600585938,4.483058929443359,17.104166666666668,237.31944444444446,4.31875,0.006381,0.086999,0.014304,0.032943,1
2026-09-03,2023,2023-09-03,06180,18.894533157348633,113.08745574951172,4.708347320556641,16.513194444444444,121.11111111111111,4.361805555555556,0.091277,0.02274,0.030168,0.052383,1
2026-09-04,2022,2022-09-04,06180,18.7319278717041,180.09507751464844,7.659698486328125,17.084027777777777,199.09420289855072,5.842361111111111,0.063164,0.053846,0.158205,0.088881,1
2026-09-05,2019,2019-09-05,06180,20.45609474182129,116.60318756103516,9.49720287322998,14.520833333333334,149.13194444444446,6.839583333333334,0.227499,0.092191,0.231354,0.188063,1
2026-09-06,2022,2022-09-06,06180,17.504714965820312,161.83717346191406,5.415400981903076,16.61118881118881,138.10416666666666,5.86993006993007,0.034249,0.067262,0.039568,0.045749,1
2026-09-07,2019,2019-09-07,06180,16.61246681213379,209.8021697998047,4.280858993530273,15.658333333333335,212.86805555555554,4.689208633093525,0.036572,0.008689,0.035548,0.0279,1
2026-09-08,2016,2016-09-08,06180,18.882190704345703,205.98895263671875,6.676764488220215,19.143055555555556,210.27777777777777,3.037857142857143,0.009999,0.012155,0.316778,0.10268,1
2026-09-09,2018,2018-09-09,06180,19.518423080444336,181.8275909423828,4.320992469787598,17.115972222222222,171.04861111111111,4.44375,0.092086,0.030549,0.010686,0.049205,1
2026-09-10,2019,2019-09-10,06180,15.121767044067383,22.613054275512695,6.615898609161377,16.091666666666665,33.395833333333336,4.388888888888889,0.037176,0.03056,0.193868,0.082199,1
2026-09-11,2020,2020-09-11,06180,15.332815170288086,128.53045654296875,4.121583938598633,14.329166666666667,104.00694444444444,3.8090277777777777,0.03847,0.069503,0.027209,0.044402,1
2026-09-12,2022,2022-09-12,06180,14.797130584716797,175.61854553222656,2.4182050228118896,15.397916666666667,152.90972222222223,3.4583333333333335,0.023028,0.06436,0.090546,0.055683,1
2026-09-13,2023,2023-09-13,06180,16.830078125,120.15655517578125,3.7758049964904785,16.28611111111111,98.64583333333333,3.9652777777777777,0.02085,0.060964,0.016494,0.031578,1
2026-09-14,2021,2021-09-14,06180,17.30312728881836,54.802284240722656,4.217313289642334,15.795833333333333,66.71212121212122,2.2825174825174823,0.057775,0.033754,0.16843,0.083765,1
2026-09-15,2021,2021-09-15,06180,15.477020263671875,15.572019577026367,2.3657474517822266,16.120833333333334,75.20833333333333,5.436805555555555,0.024677,0.169017,0.267345,0.14078,1
2026-09-16,2017,2017-09-16,06180,13.486910820007324,165.85057067871094,2.826159715652466,12.911111111111111,145.40972222222223,3.9652777777777777,0.02207,0.057932,0.099164,0.055957,1
2026-09-17,2021,2021-09-17,06180,12.258071899414062,58.343502044677734,3.546384334564209,14.818055555555556,51.298611111111114,4.6194444444444445,0.098124,0.019966,0.093413,0.073264,1
2026-09-18,2024,2024-09-18,06180,12.21703815460205,44.504432678222656,1.6114012002944946,14.965972222222222,86.47222222222223,1.9659722222222225,0.105367,0.118942,0.030867,0.087089,1
2026-09-19,2016,2016-09-19,06180,14.850813865661621,42.8707389831543,2.4515199661254883,14.806944444444444,104.6875,3.152083333333333,0.001682,0.175197,0.060986,0.071527,1
2026-09-20,2017,2017-09-20,06180,12.498659133911133,135.76890563964844,1.5561118125915527,13.526388888888889,166.65277777777777,3.0072463768115942,0.039393,0.087529,0.126326,0.079914,1
2026-09-21,2019,2019-09-21,06180,13.406229972839355,169.6109161376953,1.7728958129882812,13.421527777777778,135.84722222222223,2.1868055555555554,0.000586,0.095691,0.036032,0.039751,1
2026-09-22,2020,2020-09-22,06180,15.865221977233887,36.29404830932617,2.5309228897094727,15.234722222222224,126.33333333333333,2.4770833333333333,0.024167,0.255183,0.004687,0.087628,1
2026-09-23,2015,2015-09-23,06180,14.915675163269043,51.652503967285156,3.676863431930542,14.350000000000001,101.77083333333333,3.745833333333333,0.021682,0.142042,0.006004,0.053087,1
2026-09-24,2016,2016-09-24,06180,12.347541809082031,126.00086975097656,3.1906325817108154,14.25486111111111,133.89583333333334,3.185416666666667,0.073108,0.022375,0.000454,0.036092,1
2026-09-25,2018,2018-09-25,06180,10.92109489440918,143.8083953857422,4.4390153884887695,10.477622377622378,168.44444444444446,4.697202797202798,0.016998,0.069822,0.022476,0.034489,1
2026-09-26,2015,2015-09-26,06180,12.257444381713867,125.20750427246094,3.694042921066284,12.044444444444444,133.59027777777777,4.080555555555556,0.008164,0.023758,0.033647,0.020487,1
2026-09-27,2015,2015-09-27,06180,12.600361824035645,146.41055297851562,4.543161392211914,12.056944444444445,159.02083333333334,3.1500000000000004,0.020829,0.035739,0.121279,0.055437,1
2026-09-28,2017,2017-09-28,06180,11.834874153137207,98.17367553710938,7.300623416900635,14.640277777777776,98.72222222222223,6.528472222222223,0.107531,0.001555,0.067218,0.063644,1
2026-09-29,2024,2024-09-29,06180,10.97150993347168,139.3189239501953,5.00048828125,10.176388888888889,158.45833333333334,4.067361111111111,0.030477,0.054244,0.081232,0.052833,1
2026-09-30,2015,2015-09-30,06180,9.062737464904785,145.5644989013672,2.4467663764953613,11.59236111111111,162.79166666666666,3.0694444444444446,0.096961,0.048824,0.054206,0.069693,1
2029-01-01,2016,2016-01-01,06180,4.05105447769165,5.756266117095947,3.3842620849609375,4.495833333333334,12.625,3.4208333333333334,0.017048,0.019467,0.003184,0.013615,1
2029-01-02,2021,2021-01-02,06180,3.825129985809326,9.548102378845215,3.0528175830841064,1.2069444444444446,16.291666666666668,2.2027777777777775,0.100355,0.019112,0.073999,0.068075,1
2029-01-03,2019,2019-01-03,06180,3.0836873054504395,28.18116569519043,3.2914841175079346,2.2562499999999996,30.958333333333332,4.045833333333333,0.031716,0.007871,0.065668,0.034748,1
