month,selected_year,fs_score,avg_temp_mean,min_temp_mean,max_temp_mean,solar_radiation_mean,wind_speed_mean
1,2029,0.6163491681218146,2.2586889266967773,-0.6467725038528442,4.562674522399902,21.075326919555664,4.7734599113464355
2,2040,1.1082271337509153,0.6916869878768921,-1.8799817562103271,3.1964614391326904,49.85578536987305,5.426689624786377
3,2032,0.3766262921003197,5.158984184265137,1.2994296550750732,9.305020332336426,103.7269058227539,5.122244358062744
4,2050,1.1360014019868314,9.572057723999023,5.704927921295166,14.265650749206543,145.93923950195312,4.020524978637695
5,2050,0.6896167718447173,12.448606491088867,7.511407375335693,18.472108840942383,237.0188446044922,3.2168169021606445
6,2032,0.7917288022163588,16.302305221557617,11.697434425354004,21.742250442504883,231.7327117919922,4.1083855628967285
7,2025,0.6065407166114222,19.334789276123047,14.120688438415527,25.087406158447266,258.3194580078125,3.6506259441375732
8,2033,0.884454342035147,18.216981887817383,14.741179466247559,22.683837890625,170.58705139160156,3.979684591293335
9,2026,0.6617786945440833,14.958903312683105,11.303997039794922,18.6022891998291,118.65348052978516,4.208926677703857
10,2029,0.8109797239303587,10.764323234558105,7.374413967132568,13.901578903198242,68.62069702148438,4.3099775314331055
11,2035,1.0055478576284187,7.077204704284668,3.647357702255249,10.38010025024414,26.149951934814453,4.43242883682251
12,2041,0.6645855559752538,4.321511268615723,1.9533779621124268,6.337468147277832,10.639725685119629,4.875167369842529
