target_date,candidate_date,candidate_station_id,T_proj,R_proj,W_proj,T_hist,R_hist,W_hist,delta_temperature_norm,delta_solar_radiation_norm,delta_wind_speed_norm,weighted_distance,rank
2025-07-01,2015-07-01,06180,20.445533752441406,336.9697265625,3.846384286880493,18.240277777777777,364.40972222222223,2.8631944444444444,0.084528,0.077768,0.08559,0.082819,1
2025-07-01,2018-07-01,06180,20.445533752441406,336.9697265625,3.846384286880493,17.678472222222222,372.8263888888889,4.307638888888889,0.106062,0.101622,0.040154,0.084958,2
2025-07-01,2024-07-01,06180,20.445533752441406,336.9697265625,3.846384286880493,16.165972222222223,244.9375,3.7104166666666663,0.164036,0.260831,0.011836,0.147415,3
2025-07-01,2020-07-01,06180,20.445533752441406,336.9697265625,3.846384286880493,17.2125,185.25694444444446,5.117361111111111,0.123923,0.429974,0.110643,0.211754,4
2025-07-01,2022-07-01,06180,20.445533752441406,336.9697265625,3.846384286880493,18.1,120.29166666666667,3.9034722222222222,0.089905,0.614094,0.00497,0.221681,5
2025-07-01,2016-07-01,06180,20.445533752441406,336.9697265625,3.846384286880493,18.178472222222222,128.40972222222223,5.344444444444445,0.086897,0.591086,0.130411,0.251208,6
2025-07-01,2019-07-01,06180,20.445533752441406,336.9697265625,3.846384286880493,17.696527777777778,217.4375,8.185416666666667,0.10537,0.33877,0.377727,0.257097,7
2025-07-01,2021-07-01,06180,20.445533752441406,336.9697265625,3.846384286880493,17.220289855072465,100.3021582733813,5.750724637681159,0.123624,0.670746,0.165779,0.300407,8
2025-07-01,2017-07-01,06180,20.445533752441406,336.9697265625,3.846384286880493,14.681944444444444,90.4375,4.393055555555556,0.220919,0.698704,0.047589,0.312256,9
2025-07-01,2023-07-01,06180,20.445533752441406,336.9697265625,3.846384286880493,16.352777777777778,61.27777777777778,5.238888888888889,0.156876,0.781347,0.121222,0.333521,10
2025-07-02,2022-07-02,06180,20.68417739868164,336.5480041503906,1.760412335395813,18.77777777777778,302.0833333333333,5.414583333333334,0.073073,0.097677,0.318107,0.153964,1
2025-07-02,2018-07-02,06180,20.68417739868164,336.5480041503906,1.760412335395813,19.008333333333333,373.2708333333333,5.554861111111111,0.064235,0.104077,0.330319,0.156013,2
2025-07-02,2015-07-02,06180,20.68417739868164,336.5480041503906,1.760412335395813,19.295833333333334,367.7112676056338,6.105555555555556,0.053215,0.088321,0.378258,0.16126,3
2025-07-02,2020-07-02,06180,20.68417739868164,336.5480041503906,1.760412335395813,17.460416666666667,229.36805555555554,4.096527777777777,0.123567,0.303762,0.203366,0.201565,4
2025-07-02,2021-07-02,06180,20.68417739868164,336.5480041503906,1.760412335395813,18.577777777777776,108.95138888888889,2.652083333333333,0.080739,0.645038,0.077623,0.249094,5
2025-07-02,2023-07-02,06180,20.68417739868164,336.5480041503906,1.760412335395813,16.377083333333335,267.0763888888889,8.852083333333333,0.165091,0.196892,0.617352,0.31031,6
2025-07-02,2017-07-02,06180,20.68417739868164,336.5480041503906,1.760412335395813,15.478472222222223,206.98611111111111,6.66875,0.199535,0.367195,0.427286,0.318159,7
2025-07-02,2016-07-02,06180,20.68417739868164,336.5480041503906,1.760412335395813,16.275,108.27777777777777,5.197222222222222,0.169004,0.646947,0.299185,0.351441,8
2025-07-02,2024-07-02,06180,20.68417739868164,336.5480041503906,1.760412335395813,15.04513888888889,109.35416666666667,5.30625,0.216145,0.643897,0.308676,0.37223,9
2025-07-02,2019-07-02,06180,20.68417739868164,336.5480041503906,1.760412335395813,14.893055555555556,208.65277777777777,9.05034965034965,0.221974,0.362472,0.634612,0.387915,10
2025-07-03,2015-07-03,06180,20.47391700744629,321.25396728515625,3.956691265106201,20.902097902097903,337.125,4.183216783216784,0.016412,0.044981,0.01972,0.025975,1
2025-07-03,2018-07-03,06180,20.47391700744629,321.25396728515625,3.956691265106201,21.025,355.3541666666667,3.145138888888889,0.021123,0.096644,0.070648,0.058637,2
2025-07-03,2022-07-03,06180,20.47391700744629,321.25396728515625,3.956691265106201,20.237499999999997,241.29166666666666,5.893055555555556,0.009062,0.226623,0.168567,0.122182,3
2025-07-03,2021-07-03,06180,20.47391700744629,321.25396728515625,3.956691265106201,20.387500000000003,204.3357142857143,2.2972222222222225,0.003312,0.331361,0.144462,0.144072,4
2025-07-03,2016-07-03,06180,20.47391700744629,321.25396728515625,3.956691265106201,14.958333333333334,234.31944444444446,4.815972222222222,0.211413,0.246384,0.074803,0.180921,5
2025-07-03,2024-07-03,06180,20.47391700744629,321.25396728515625,3.956691265106201,15.354861111111111,219.26388888888889,5.730555555555556,0.196214,0.289053,0.154421,0.211528,6
2025-07-03,2019-07-03,06180,20.47391700744629,321.25396728515625,3.956691265106201,14.461111111111112,286.24305555555554,7.504861111111111,0.230472,0.099225,0.308879,0.21462,7
2025-07-03,2020-07-03,06180,20.47391700744629,321.25396728515625,3.956691265106201,15.472222222222221,154.16666666666666,3.7125000000000004,0.191716,0.473547,0.021258,0.225128,8
2025-07-03,2017-07-03,06180,20.47391700744629,321.25396728515625,3.956691265106201,14.460416666666667,218.6875,6.65,0.230498,0.290687,0.234461,0.249744,9
2025-07-03,2023-07-03,06180,20.47391700744629,321.25396728515625,3.956691265106201,15.265972222222224,254.55555555555554,8.390277777777778,0.199621,0.189032,0.385958,0.252345,10
2025-07-04,2018-07-04,06180,20.79551887512207,321.2912902832031,5.244581699371338,20.20763888888889,356.1388888888889,3.59375,0.022534,0.098763,0.14371,0.081755,1
